eq_id,eq_nome,eq_enderec,eq_bairro,eq_tipo,longitude,latitude,eq_distr,eq_regiao,eq_ender,eq_esfera,alunos_ef,alunos_em,alunos_total
3603,SALVADOR MOYA,R ITAIARA 51,CIDADE VARGAS,EE,-46.634164,-23.649152,JABAQUARA,Sul,#REF!,ESTADUAL - SE,382,438,1031
3611,HELENA LEMMI PROFESSORA,RUA JUA 246,,EE,-46.634266,-23.612175,SAUDE,Sul,#REF!,ESTADUAL - SE,466,0,473
3612,PRUDENTE DE MORAES,PRACA CEL FERNANDO PRESTES 197,,EE,-46.634286,-23.529548,BOM RETIRO,Centro,#REF!,ESTADUAL - SE,1163,0,1173
3619,FLORIANO MARECHAL,RUA DONA JULIA 37,,EE,-46.634531,-23.587755,VILA MARIANA,Sul,#REF!,ESTADUAL - SE,382,0,382
3620,BRASILIO MACHADO,RUA AFONSO CELSO 311,,EE,-46.634585,-23.593927,VILA MARIANA,Sul,#REF!,ESTADUAL - SE,0,982,982
3636,ROOSEVELT PRESIDENTE,RUA SAO JOAQUIM 320,LIBERDADE,EE,-46.63501,-23.561501,LIBERDADE,Centro,#REF!,ESTADUAL - SE,625,431,1201
3640,ARTHUR WOLFF NETTO PROFESSOR,R AZOR SILVA 153,VILA FACHINI,EE,-46.635137,-23.660338,JABAQUARA,Sul,#REF!,ESTADUAL - SE,646,0,648
3646,LYGIA DE AZEVEDO SOUZA E SA PROFESSORA,RUA DOUTOR MAURICIO DE LACERDA 322,,EE,-46.635317,-23.625587,SAUDE,Sul,#REF!,ESTADUAL - SE,225,301,974
3648,PAUL HUGON PROF,R GENERAL JOSE DE ALMEIDA BOTELHO 196,PARQUE MANDAQUI,EE,-46.635447,-23.470835,MANDAQUI,Norte,#REF!,ESTADUAL - SE,378,835,1649
3651,ROSA INES BORNIA MOREIRA PROFESSORA,ESTRADA DO ALVARENGA 5112,,EE,-46.635561,-23.712511,PEDREIRA,Sul,#REF!,ESTADUAL - SE,511,427,938
3652,LUIZA MARCELINA BRANCA CHAIB,ESTRADA DO ALVARENGA 5110,,EE,-46.635561,-23.712511,PEDREIRA,Sul,#REF!,ESTADUAL - SE,607,0,607
3655,ARCY MAJOR,R DOUTOR JOSE DE QUEIROS ARANHA 451,VILA MARIANA,EE,-46.635658,-23.577934,VILA MARIANA,Sul,#REF!,ESTADUAL - SE,173,99,272
3656,HERMANO RIBEIRO DA SILVA,TRAVESSA PROF  DALMO BELFORT DE MATTOS SN,,EE,-46.635665,-23.677126,CIDADE ADEMAR,Sul,#REF!,ESTADUAL - SE,494,0,640
3662,LEONOR QUADROS,R BALTAZAR GOMES DE ALARCAO SN,JARDIM MIRIAM,EE,-46.635915,-23.680582,CIDADE ADEMAR,Sul,#REF!,ESTADUAL - SE,779,1096,1989
3665,PASQUALE FILIPPELLI PADRE,R PAULINO ALVES ESCUDEIRO 240,GUACURI,EE,-46.636026,-23.700097,PEDREIRA,Sul,#REF!,ESTADUAL - SE,1069,0,1069
3673,DOMINGOS QUIRINO FERREIRA CORONEL,AV DO CAFE 681,VILA GUARANI (Z SUL),EE,-46.636197,-23.631551,JABAQUARA,Sul,#REF!,ESTADUAL - SE,689,652,1680
3674,EMANOEL ALVES DE ARAUJO ARTISTA PLASTICO,R PAULINO ALVES ESCUDEIRO 290,GUACURI,EE,-46.636243,-23.700664,PEDREIRA,Sul,#REF!,ESTADUAL - SE,535,460,1299
3675,JEAN MERMOZ EMEF,RUA CORREIA DE LEMOS 30,CHACARA INGLESA,EMEF,-46.636281,-23.607745,SAUDE,Sul,#REF!,MUNICIPAL,357,0,709
3697,ROMULO PERO PROFESSOR,RUA COPACABANA 243,,EE,-46.637468,-23.493498,SANTANA,Norte,#REF!,ESTADUAL - SE,389,305,694
3702,JOSE NASCIMENTO PROFESSOR,R LUISA 48,CIDADE JULIA,EE,-46.637723,-23.685314,CIDADE ADEMAR,Sul,#REF!,ESTADUAL - SE,962,0,1141
3705,LILIANE VERZINI SILVA EMEF,RUA FRANCESCO M MILANI SN,,EMEF,-46.637759,-23.691078,CIDADE ADEMAR,Sul,#REF!,MUNICIPAL,492,0,804
3712,EDMEA ATTAB PROFESSORA,R OLIVERIO GIRONDO 127,VILA CLARA,EE,-46.638106,-23.672177,CIDADE ADEMAR,Sul,#REF!,ESTADUAL - SE,914,0,914
3734,GASTAO MOUTINHO COMANDANTE EMEF,RUA CORONEL JOAO DA SILVA FEIJO 40,PARQUE MANDAQUI,EMEF,-46.6387026168,-23.4679511219,MANDAQUI,Norte,#REF!,MUNICIPAL,610,0,1125
3745,NELSON PIMENTEL QUEIROZ PROF EMEF,AV LEONARDO DA VINCI 1371,VILA GUARANI (Z SUL),EMEF,-46.639156,-23.640083,JABAQUARA,Sul,#REF!,MUNICIPAL,784,0,1054
3749,ADRIAO BERNARDES PROF,EST ITAQUAQUECETUBA 9953,JARDIM SANTA TEREZA,EE,-46.639231,-23.801209,GRAJAU,Sul,#REF!,ESTADUAL - SE,364,144,837
3752,CASTRO ALVES,R FRANCISCO BRUNO 67,VILA MARIZA MAZZEI,EE,-46.639335,-23.484884,MANDAQUI,Norte,#REF!,ESTADUAL - SE,198,395,593
3763,ALDO DA TOFORI PADRE EMEF,RUA MIGUEL FLETA 167,,EMEF,-46.639814,-23.70145,PEDREIRA,Sul,#REF!,MUNICIPAL,938,0,1409
3766,PAULO MACHADO DE CARVALHO,RUA AGUIAR DE BARROS 160,,EE,-46.639841,-23.55335,REPUBLICA,Centro,#REF!,ESTADUAL - SE,280,0,280
