ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,REGISTRO,ENDERECO,NUMERO,BAIRRO,REFERENCIA
839,-46.494769,-23.543366,355030805000083,3550308005149,05,ARTUR ALVIM,21,PENHA,Leste,Leste 1,VILA NHOCUNE,6066-6,RUA SAO VITORIO,93.000000,VL NHOCUNE,RUA DE SOUZA BANDEIRA
797,-46.609122,-23.646622,355030868000188,3550308005089,69,SACOMA,13,IPIRANGA,Sul,Sul 1,PARQUE BRISTOL,6068-2,AV JOSE CAETANO DA ROCHA,23.000000,PQ BRISTOL,TV RUA PADRE ARLINDO VIEIRA
862,-46.497476,-23.502414,355030818000174,3550308005138,18,CANGAIBA,21,PENHA,Leste,Leste 1,VILA CISPER,6069-0,RUA JOSE GOMES FARIA,24.000000,VL CISPER,RUA LUIZ IMPERADOR
84,-46.697023,-23.493154,355030829000009,3550308005117,29,FREGUESIA DO O,3,FREGUESIA / BRASILANDIA,Norte,Norte 1,JARDIM MONJOLO,6070-4,RUA NAZARIO PAGANO,S/N,JD MONJOLO,PATIO ASFALTADO
553,-46.623145,-23.475021,355030851000095,3550308005129,51,MANDAQUI,5,SANTANA / TUCURUVI,Norte,Norte 2,VILA AURORA,6071-2,RUA ALBERTINA VIEIRA DA S GORDO,13.000000,VL AURORA,PONTO FINAL DO ONIBUS V AURORA
820,-46.756166,-23.409498,355030861000019,3550308005243,62,PERUS,1,PERUS,Norte,Norte 1,VILA OPERARIA,6072-0,RUA RAPHAEL DI SANDRO,,PERUS,PROXIMO A ESTACAO DE PERUS
583,-46.772359,-23.669611,355030819000012,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAPAO REDONDO,6073-9,AV ATHOS THOMAZ FERRACIO,S/N,CAPAO REDONDO,TV AV ELIAS MAAS
318,-46.653653,-23.664920,355030822000073,3550308005166,37,JABAQUARA,15,JABAQUARA,Sul,Sul 1,JABAQUARA,6074-7,RUA ANTONIO DE PINHO AZEVEDO,S/N,JABAQUARA,MARGENS DA AVENIDA CUPECE
306,-46.693407,-23.639352,355030871000009,3550308005173,72,SANTO AMARO,14,SANTO AMARO,Sul,Sul 2,DEODORO,6075-5,RUA COMEN ELIAS ZARZUR,150.000000,STO AMARO,A 20M DA R AMERICO BRASILIENSE
736,-46.673151,-23.669716,355030816000114,3550308005170,16,CAMPO GRANDE,14,SANTO AMARO,Sul,Sul 2,JARDIM CONSORCIO,6076-3,RUA JOAO BATISTA DI VITORIANO,,JD CONSORCIO,JARDIM CONSORCIO
